ope,1st,2nd,ans
1,-4,50,46
1,-46,-79,-125
1,-70,-39,-109
1,75,-95,-20
1,-64,-39,-103
1,-63,88,25
1,-13,49,36
1,-47,59,12
1,9,-74,-65
1,60,-41,19
1,89,79,168
1,-56,89,33
1,-68,-21,-89
1,90,-82,8
1,95,-48,47
1,-53,97,44
1,-6,-53,-59
1,69,-37,32
1,64,85,149
1,-91,33,-58
1,40,-8,32
1,59,-38,21
1,-96,77,-19
1,-57,64,7
1,-18,0,-18
1,74,88,162
1,26,57,83
1,-68,-33,-101
1,27,-70,-43
1,85,10,95
1,47,97,144
1,59,44,103
1,87,-31,56
1,-3,1,-2
1,88,85,173
1,1,-66,-65
1,-48,28,-20
1,-52,12,-40
1,53,18,71
1,-86,27,-59
1,-81,36,-45
1,-41,11,-30
1,-44,94,50
1,45,86,131
1,-20,-43,-63
1,-44,-71,-115
1,74,73,147
1,69,-49,20
1,74,-93,-19
1,-72,73,1
1,-58,-79,-137
1,-27,-59,-86
1,52,62,114
1,85,-21,64
1,-56,-40,-96
1,96,-1,95
1,-77,26,-51
1,36,-85,-49
1,-23,-55,-78
1,-70,-63,-133
1,48,-34,14
1,-50,-20,-70
1,-33,-39,-72
1,-34,-14,-48
1,-42,56,14
1,81,-25,56
1,-4,-82,-86
1,-71,2,-69
1,79,-8,71
1,-51,-32,-83
1,89,5,94
1,7,-50,-43
1,7,-50,-43
1,11,-82,-71
1,-69,-80,-149
1,38,-74,-36
1,-15,97,82
1,-84,58,-26
1,31,95,126
1,56,10,66
1,38,61,99
1,-59,-28,-87
1,39,-36,3
1,16,-85,-69
1,-73,85,12
1,-11,-22,-33
1,-17,-21,-38
1,96,89,185
1,90,51,141
1,98,-43,55
1,-1,98,97
1,-46,26,-20
1,81,88,169
1,-64,-7,-71
1,17,26,43
1,17,-24,-7
1,-68,25,-43
1,-87,-87,-174
1,19,-63,-44
1,35,-7,28
1,60,-92,-32
1,66,18,84
1,68,7,75
1,9,26,35
1,-60,-50,-110
1,-41,-27,-68
1,43,-40,3
1,-23,-50,-73
1,41,59,100
1,1,69,70
1,-79,56,-23
1,-45,55,10
1,24,-17,7
1,-17,-29,-46
1,-49,22,-27
1,-17,57,40
1,-33,-12,-45
1,83,-17,66
1,-99,33,-66
1,80,-20,60
1,91,-72,19
1,-45,88,43
1,-40,-73,-113
1,-78,23,-55
1,21,-38,-17
1,9,-46,-37
1,-94,-71,-165
1,-85,85,0
1,-61,68,7
1,-84,-44,-128
1,90,96,186
1,-89,8,-81
1,72,-80,-8
1,63,-84,-21
1,-4,39,35
1,-3,24,21
1,49,-81,-32
1,58,53,111
1,-12,-56,-68
1,-15,-58,-73
1,37,-35,2
1,54,-42,12
1,20,-47,-27
1,99,-91,8
1,-75,81,6
1,-83,35,-48
1,-49,41,-8
1,-99,79,-20
1,40,25,65
1,-70,19,-51
1,-52,-58,-110
1,10,-78,-68
1,31,-90,-59
1,-43,-31,-74
1,4,49,53
1,-41,22,-19
1,-91,-3,-94
1,-1,56,55
1,-84,-30,-114
1,-15,-29,-44
1,-49,-11,-60
1,46,11,57
1,60,43,103
1,-75,4,-71
1,89,41,130
1,-50,96,46
1,39,-44,-5
1,-59,-59,-118
1,-99,39,-60
1,-65,92,27
1,24,51,75
1,41,93,134
1,32,-76,-44
1,-82,-44,-126
1,-68,89,21
1,-41,28,-13
1,-72,82,10
1,-21,-37,-58
1,98,74,172
1,-23,-75,-98
1,-7,-16,-23
1,-44,-12,-56
1,58,-25,33
1,95,-70,25
1,8,18,26
1,65,67,132
1,69,-94,-25
1,-70,-74,-144
1,-19,73,54
1,-90,12,-78
1,-56,-89,-145
1,34,66,100
1,95,94,189
1,-78,-90,-168
1,-74,-74,-148
1,-60,-95,-155
1,-56,29,-27
1,-14,1,-13
1,-2,-75,-77
1,6,-26,-20
1,-65,11,-54
1,-61,-3,-64
1,83,30,113
1,-80,51,-29
1,99,-43,56
1,-20,-13,-33
1,96,58,154
1,-58,-64,-122
1,-17,-62,-79
1,-20,-34,-54
1,42,10,52
1,-2,-39,-41
1,-90,-71,-161
1,-19,-68,-87
1,11,-86,-75
1,55,-74,-19
1,-49,-35,-84
1,-11,-57,-68
1,62,-89,-27
1,45,-85,-40
1,-80,22,-58
1,-41,92,51
1,97,-79,18
1,-100,69,-31
1,12,3,15
1,43,88,131
1,-35,1,-34
1,-61,-65,-126
1,43,-49,-6
1,81,28,109
1,-13,-65,-78
1,29,-89,-60
1,14,-51,-37
1,22,-86,-64
1,73,-30,43
1,25,66,91
1,30,-5,25
1,-67,54,-13
1,67,75,142
1,97,-81,16
1,19,-5,14
1,62,-73,-11
1,20,-19,1
1,-34,75,41
1,-82,96,14
1,88,-70,18
1,29,50,79
1,25,16,41
1,33,-98,-65
1,91,-39,52
1,72,80,152
1,71,35,106
1,-12,29,17
1,28,88,116
1,-10,-40,-50
1,90,9,99
1,-58,82,24
1,-22,-71,-93
1,53,-42,11
1,-82,87,5
1,39,61,100
1,96,-66,30
1,79,-38,41
1,-96,59,-37
1,18,-6,12
1,48,-69,-21
1,78,-80,-2
1,-58,83,25
1,-21,21,0
1,59,83,142
1,-23,-85,-108
1,-47,22,-25
1,90,91,181
1,-62,-7,-69
1,-37,36,-1
1,76,65,141
1,-80,-72,-152
1,84,4,88
1,80,-85,-5
1,-6,-36,-42
1,-21,-95,-116
1,33,95,128
1,-96,61,-35
1,35,-85,-50
1,65,-44,21
1,-27,60,33
1,98,-97,1
1,-77,94,17
1,98,-86,12
1,-96,-4,-100
1,-16,-21,-37
1,7,31,38
1,63,25,88
1,-7,95,88
1,31,36,67
1,-7,96,89
1,-75,7,-68
1,23,-14,9
1,-47,-81,-128
1,11,6,17
1,91,91,182
1,-73,9,-64
1,12,53,65
1,0,-59,-59
1,85,-6,79
1,-44,85,41
1,-10,-40,-50
1,-40,-7,-47
1,-26,50,24
1,-50,-30,-80
1,-84,-76,-160
1,-72,-25,-97
1,-48,-39,-87
1,28,87,115
1,-42,-60,-102
1,-99,-51,-150
1,-86,-64,-150
1,36,-4,32
1,49,-74,-25
1,-25,-27,-52
1,-98,100,2
1,-40,-44,-84
1,-12,68,56
1,-90,-20,-110
1,-21,-63,-84
1,0,-61,-61
1,-81,-99,-180
1,-57,-62,-119
1,75,-54,21
1,-49,16,-33
1,30,-35,-5
1,36,18,54
1,-91,-12,-103
1,55,-67,-12
1,59,8,67
1,30,33,63
1,91,-76,15
1,-77,-99,-176
1,-63,-95,-158
1,57,75,132
1,82,51,133
1,77,30,107
1,-25,42,17
1,-15,-89,-104
1,73,-33,40
1,85,-22,63
1,-73,-9,-82
1,46,41,87
1,-38,64,26
1,86,48,134
1,-22,-100,-122
1,-15,36,21
1,-97,16,-81
1,-36,16,-20
1,-93,-49,-142
1,-39,-80,-119
1,43,83,126
1,-90,100,10
1,-30,-56,-86
1,-39,-72,-111
1,90,28,118
1,-74,11,-63
1,6,95,101
1,-16,32,16
1,-18,11,-7
1,-96,-60,-156
1,-61,-89,-150
1,-52,4,-48
1,-84,-47,-131
1,90,22,112
1,76,3,79
1,48,63,111
1,80,-1,79
1,72,66,138
1,-31,-89,-120
1,64,-86,-22
1,-57,-9,-66
1,38,2,40
1,-95,69,-26
1,17,-86,-69
1,-4,51,47
1,-55,33,-22
1,55,-19,36
1,-46,78,32
1,-77,52,-25
1,82,-3,79
1,-30,-6,-36
1,-56,30,-26
1,-91,-88,-179
1,-34,16,-18
1,-6,-63,-69
1,-64,46,-18
1,77,48,125
1,-93,6,-87
1,35,69,104
1,-34,46,12
1,22,19,41
1,47,97,144
1,95,-60,35
1,-34,80,46
1,26,-55,-29
1,39,1,40
1,77,86,163
1,-18,42,24
1,75,-66,9
1,6,-69,-63
1,68,-25,43
1,-49,63,14
1,-90,-49,-139
1,75,80,155
1,76,-62,14
1,47,16,63
1,100,30,130
1,6,-87,-81
1,-39,-37,-76
1,78,75,153
1,-10,13,3
1,10,72,82
1,-28,1,-27
1,93,33,126
1,-20,-98,-118
1,-91,11,-80
1,44,54,98
1,62,42,104
1,25,-68,-43
1,-87,-35,-122
1,100,98,198
1,43,-52,-9
1,50,71,121
1,75,-64,11
1,-7,89,82
1,-16,-66,-82
1,-37,58,21
1,90,-25,65
1,83,-12,71
1,55,63,118
1,2,-72,-70
1,-29,-60,-89
1,-36,-34,-70
1,-72,-52,-124
1,-29,-73,-102
1,-29,-23,-52
1,87,2,89
1,82,-61,21
1,29,88,117
1,-15,44,29
1,32,-86,-54
1,-56,31,-25
1,33,71,104
1,37,96,133
1,24,-43,-19
1,-21,-1,-22
1,-22,33,11
1,85,63,148
1,-56,-86,-142
1,-19,28,9
1,75,-89,-14
1,-55,-32,-87
1,25,-14,11
1,89,-18,71
1,30,96,126
1,23,10,33
1,-17,36,19
1,76,-99,-23
1,-36,45,9
1,-16,53,37
1,74,-69,5
1,-7,-39,-46
1,-86,-67,-153
1,44,47,91
1,88,-30,58
1,16,19,35
1,42,13,55
1,17,66,83
1,-69,67,-2
1,-85,-35,-120
1,-61,30,-31
1,50,38,88
1,-6,-40,-46
1,27,96,123
1,-2,26,24
1,57,-57,0
1,-47,41,-6
1,13,-79,-66
1,-37,-47,-84
1,-94,-93,-187
1,-87,2,-85
1,29,-48,-19
1,-53,7,-46
1,82,92,174
1,34,-53,-19
1,46,-12,34
1,86,-62,24
1,46,-54,-8
1,93,25,118
1,-31,-41,-72
1,-27,77,50
1,-91,-35,-126
1,46,-14,32
1,88,14,102
1,-21,7,-14
1,53,15,68
1,-39,-90,-129
1,18,-24,-6
1,-64,19,-45
1,39,53,92
1,39,46,85
1,-51,-97,-148
1,57,2,59
1,-67,46,-21
1,-12,56,44
1,13,67,80
1,27,-96,-69
1,11,-73,-62
1,-60,66,6
1,-22,-98,-120
1,-55,-30,-85
1,38,39,77
1,-90,-45,-135
1,41,-23,18
1,-75,-15,-90
1,-74,-59,-133
1,-53,-73,-126
1,-59,24,-35
1,-25,3,-22
1,8,73,81
1,-20,-22,-42
1,0,-32,-32
1,-37,-45,-82
1,-94,58,-36
1,88,-60,28
1,-72,-44,-116
1,13,-12,1
1,4,10,14
1,-95,-71,-166
1,-37,55,18
1,-78,-57,-135
1,91,-93,-2
1,-50,61,11
1,-99,-53,-152
1,14,28,42
1,-63,-10,-73
1,-34,78,44
1,3,39,42
1,26,-34,-8
1,-79,-63,-142
1,-84,22,-62
1,94,-14,80
1,-7,-43,-50
1,28,-61,-33
1,-85,-50,-135
1,-18,-27,-45
1,-50,85,35
1,42,49,91
1,-4,63,59
1,-43,-59,-102
1,-56,61,5
1,-89,86,-3
1,-48,90,42
1,77,2,79
1,-82,45,-37
1,-48,-67,-115
1,-51,-88,-139
1,-2,98,96
1,-33,98,65
1,65,46,111
1,-13,-12,-25
1,55,-20,35
1,-40,20,-20
1,43,0,43
1,36,-90,-54
1,28,-37,-9
1,95,55,150
1,36,27,63
1,25,94,119
1,44,76,120
1,-79,-91,-170
1,-51,-62,-113
1,10,-49,-39
1,-5,34,29
1,53,5,58
1,-73,48,-25
1,19,-60,-41
1,-58,-69,-127
1,85,-46,39
1,80,-74,6
1,82,-29,53
1,-71,75,4
1,97,-68,29
1,-79,4,-75
1,15,15,30
1,-38,-26,-64
1,-31,-58,-89
1,64,42,106
1,49,71,120
1,95,-63,32
1,-43,-52,-95
1,-62,-91,-153
1,49,43,92
1,-36,3,-33
1,-91,-66,-157
1,-93,89,-4
1,24,-30,-6
1,46,66,112
1,60,88,148
1,-43,-14,-57
1,-72,34,-38
1,76,-90,-14
1,47,-48,-1
1,-5,-2,-7
1,42,-1,41
1,-66,53,-13
1,-79,-22,-101
1,22,-37,-15
1,16,-77,-61
1,35,-60,-25
1,-16,43,27
1,30,-59,-29
1,66,29,95
1,-76,91,15
1,91,35,126
1,3,40,43
1,-3,97,94
1,-86,-83,-169
1,2,10,12
1,28,-28,0
1,-52,2,-50
1,12,-69,-57
1,40,-35,5
1,-76,18,-58
1,-53,43,-10
1,48,-18,30
1,39,-6,33
1,-21,-92,-113
1,38,97,135
1,94,73,167
1,-43,-15,-58
1,39,-36,3
1,-75,3,-72
1,37,97,134
1,-72,24,-48
1,-14,-97,-111
1,-74,-32,-106
1,58,79,137
1,-56,23,-33
1,-35,-76,-111
1,57,62,119
1,65,13,78
1,-40,-47,-87
1,-15,56,41
1,-32,56,24
1,24,45,69
1,9,74,83
1,-61,89,28
1,-60,89,29
1,-12,70,58
1,94,-9,85
1,-19,-6,-25
1,-44,72,28
1,6,58,64
1,-52,-61,-113
1,33,-8,25
1,-24,-22,-46
1,52,42,94
1,33,-36,-3
1,29,35,64
1,-78,26,-52
1,19,-43,-24
1,-22,85,63
1,-64,-72,-136
1,-39,-100,-139
1,-98,-5,-103
1,-46,78,32
1,80,-55,25
1,-88,34,-54
1,59,-98,-39
1,86,-92,-6
1,67,97,164
1,-87,8,-79
1,31,-59,-28
1,82,-89,-7
1,70,62,132
1,-72,-29,-101
1,-30,-37,-67
1,-96,26,-70
1,-84,26,-58
1,-32,-31,-63
1,-76,23,-53
1,-36,-28,-64
1,-35,13,-22
1,-27,16,-11
1,-3,66,63
1,12,15,27
1,-26,-61,-87
1,-62,-33,-95
1,16,-63,-47
1,8,70,78
1,91,-24,67
1,55,-50,5
1,-36,20,-16
1,93,-96,-3
1,39,-79,-40
1,-43,-43,-86
1,14,-61,-47
1,10,68,78
1,0,-40,-40
1,65,-26,39
1,5,-63,-58
1,44,-83,-39
1,-49,2,-47
1,-79,-18,-97
1,-77,25,-52
1,6,88,94
1,32,-16,16
1,-63,-61,-124
1,-1,58,57
1,-76,56,-20
1,-12,12,0
1,41,62,103
1,30,86,116
1,97,85,182
1,87,-33,54
1,-76,49,-27
1,-61,23,-38
1,-18,-1,-19
1,-52,99,47
1,57,-26,31
1,-91,-24,-115
1,-6,-9,-15
1,46,56,102
1,65,12,77
1,-93,-41,-134
1,25,31,56
1,-60,30,-30
1,-85,90,5
1,44,81,125
1,57,33,90
1,74,10,84
1,95,-59,36
1,-49,15,-34
1,-90,88,-2
1,-98,-91,-189
1,73,-49,24
1,-51,78,27
1,-99,-58,-157
1,-94,17,-77
1,-39,25,-14
1,-91,11,-80
1,65,-30,35
1,-46,-65,-111
1,-55,-2,-57
1,-74,-9,-83
1,6,98,104
1,-61,-45,-106
1,-93,-95,-188
1,-99,14,-85
1,60,23,83
1,-19,-48,-67
1,-26,44,18
1,92,-47,45
1,12,-40,-28
1,-66,23,-43
1,-14,0,-14
1,45,99,144
1,-97,18,-79
1,-79,43,-36
1,54,-27,27
1,-60,47,-13
1,97,-91,6
1,-64,40,-24
1,-70,60,-10
1,-85,-94,-179
1,-86,70,-16
1,-68,-18,-86
1,-90,99,9
1,-23,-21,-44
1,33,-54,-21
1,-36,88,52
1,-43,78,35
1,32,-35,-3
1,73,43,116
1,63,-71,-8
1,-50,-49,-99
1,11,28,39
