ope,1st,2nd,ans
2,-66,60,-126
2,28,65,-37
2,-66,-28,-38
2,-5,15,-20
2,55,86,-31
2,-65,72,-137
2,-32,-62,30
2,5,94,-89
2,-7,39,-46
2,-69,70,-139
2,-75,55,-130
2,-90,-52,-38
2,63,98,-35
2,19,-40,59
2,-76,-11,-65
2,74,-91,165
2,-44,70,-114
2,79,-44,123
2,-17,-28,11
2,53,-1,54
2,58,-40,98
2,46,89,-43
2,-31,-26,-5
2,-31,-85,54
2,44,-97,141
2,10,24,-14
2,-13,-35,22
2,-58,67,-125
2,-34,-27,-7
2,-20,23,-43
2,-1,-18,17
2,-14,33,-47
2,-8,87,-95
2,87,-38,125
2,-60,30,-90
2,42,-73,115
2,-36,55,-91
2,-64,-10,-54
2,-53,-40,-13
2,70,-55,125
2,77,95,-18
2,-100,16,-116
2,-55,-50,-5
2,89,22,67
2,-23,36,-59
2,-11,15,-26
2,61,-60,121
2,88,49,39
2,-66,-27,-39
2,8,-92,100
2,2,-35,37
2,-81,64,-145
2,12,-60,72
2,-88,49,-137
2,-58,-18,-40
2,54,-86,140
2,-72,-64,-8
2,-5,7,-12
2,11,-65,76
2,42,54,-12
2,-64,-75,11
2,51,-66,117
2,-40,-47,7
2,-60,-95,35
2,-95,97,-192
2,34,5,29
2,-7,32,-39
2,8,-64,72
2,26,58,-32
2,16,-15,31
2,1,73,-72
2,24,-56,80
2,-87,53,-140
2,-23,77,-100
2,70,-8,78
2,8,-31,39
2,-83,-93,10
2,-2,-45,43
2,-22,40,-62
2,97,18,79
2,7,-53,60
2,43,40,3
2,-1,-85,84
2,-45,33,-78
2,-18,31,-49
2,4,48,-44
2,17,-35,52
2,-28,-65,37
2,-73,57,-130
2,22,16,6
2,66,-97,163
2,30,64,-34
2,-88,58,-146
2,-47,84,-131
2,79,97,-18
2,8,91,-83
2,92,31,61
2,-47,73,-120
2,78,97,-19
2,80,-15,95
2,74,15,59
2,-75,-22,-53
2,-60,-69,9
2,69,21,48
2,-39,-9,-30
2,-55,-61,6
2,85,98,-13
2,63,-54,117
2,-59,94,-153
2,-2,11,-13
2,-92,-73,-19
2,-100,53,-153
2,38,-29,67
2,63,-94,157
2,-33,87,-120
2,97,83,14
2,32,32,0
2,-84,84,-168
2,60,95,-35
2,54,71,-17
2,-63,82,-145
2,-46,-47,1
2,75,-61,136
2,-60,-24,-36
2,-77,-97,20
2,14,-12,26
2,-43,-50,7
2,-17,3,-20
2,-63,1,-64
2,-32,39,-71
2,-85,29,-114
2,60,60,0
2,100,-60,160
2,-93,-43,-50
2,-20,61,-81
2,13,48,-35
2,-47,95,-142
2,100,-72,172
2,63,-95,158
2,79,42,37
2,-6,52,-58
2,-47,24,-71
2,-59,35,-94
2,-47,75,-122
2,-86,-47,-39
2,21,38,-17
2,58,-40,98
2,-73,-73,0
2,-17,58,-75
2,-25,43,-68
2,59,69,-10
2,55,15,40
2,-38,-26,-12
2,-56,66,-122
2,-33,74,-107
2,-33,-33,0
2,52,-16,68
2,-43,36,-79
2,9,69,-60
2,50,-29,79
2,15,62,-47
2,10,-25,35
2,76,-74,150
2,-41,-58,17
2,48,-5,53
2,60,-42,102
2,90,9,81
2,44,57,-13
2,1,-66,67
2,24,-10,34
2,-99,90,-189
2,30,-55,85
2,97,86,11
2,-76,34,-110
2,23,2,21
2,35,14,21
2,-71,-70,-1
2,21,-66,87
2,-25,-13,-12
2,94,-31,125
2,-24,-11,-13
2,31,-93,124
2,-82,-92,10
2,49,67,-18
2,-61,-28,-33
2,-30,-86,56
2,-9,79,-88
2,-30,-54,24
2,-65,87,-152
2,-98,-7,-91
2,-97,-54,-43
2,66,24,42
2,-69,-29,-40
2,83,14,69
2,-54,-84,30
2,67,100,-33
2,-95,58,-153
2,15,10,5
2,30,-77,107
2,53,73,-20
2,68,-85,153
2,-75,84,-159
2,-16,-79,63
2,6,79,-73
2,-24,-55,31
2,18,95,-77
2,25,2,23
2,44,-40,84
2,-71,-62,-9
2,-98,-43,-55
2,95,80,15
2,-8,-13,5
2,7,5,2
2,55,80,-25
2,-51,-44,-7
2,-37,54,-91
2,70,-80,150
2,-82,70,-152
2,11,41,-30
2,2,-83,85
2,60,-54,114
2,-80,29,-109
2,66,85,-19
2,-95,-43,-52
2,84,19,65
2,-67,40,-107
2,-37,18,-55
2,63,-4,67
2,-58,-2,-56
2,10,-78,88
2,1,-52,53
2,-79,57,-136
2,33,90,-57
2,-5,23,-28
2,-40,75,-115
2,-67,-31,-36
2,-69,-76,7
2,90,81,9
2,92,-32,124
2,-15,63,-78
2,83,-26,109
2,-69,-80,11
2,76,-56,132
2,89,-70,159
2,9,-29,38
2,-48,52,-100
2,-26,-56,30
2,-97,-78,-19
2,27,91,-64
2,-19,88,-107
2,-30,26,-56
2,-2,-68,66
2,3,-89,92
2,94,-86,180
2,41,-37,78
2,1,42,-41
2,-23,-93,70
2,9,7,2
2,74,-79,153
2,92,89,3
2,-85,-71,-14
2,-71,21,-92
2,76,89,-13
2,55,11,44
2,-51,-73,22
2,-7,52,-59
2,24,41,-17
2,-85,-41,-44
2,-34,-78,44
2,23,59,-36
2,6,89,-83
2,-51,-22,-29
2,-3,63,-66
2,17,27,-10
2,91,-95,186
2,99,-5,104
2,-85,35,-120
2,85,29,56
2,-12,90,-102
2,2,-97,99
2,-28,-80,52
2,-10,35,-45
2,100,-43,143
2,30,19,11
2,-39,-19,-20
2,-99,6,-105
2,-78,64,-142
2,43,100,-57
2,69,22,47
2,58,9,49
2,-10,-33,23
2,-76,59,-135
2,75,63,12
2,-67,-54,-13
2,-47,62,-109
2,-61,9,-70
2,68,-90,158
2,-86,77,-163
2,-1,-63,62
2,-59,-71,12
2,-17,-96,79
2,34,-63,97
2,-59,66,-125
2,-43,90,-133
2,36,83,-47
2,75,-5,80
2,55,100,-45
2,-17,-43,26
2,-17,-52,35
2,-73,19,-92
2,31,-77,108
2,51,99,-48
2,27,-88,115
2,-51,-98,47
2,86,2,84
2,13,59,-46
2,37,-54,91
2,-71,-32,-39
2,-90,37,-127
2,-51,78,-129
2,61,48,13
2,-39,-36,-3
2,-35,-3,-32
2,-100,35,-135
2,-77,95,-172
2,50,55,-5
2,-45,79,-124
2,76,41,35
2,-69,-61,-8
2,-26,-18,-8
2,3,-55,58
2,-99,25,-124
2,63,16,47
2,43,-77,120
2,54,-55,109
2,-45,-69,24
2,-46,-73,27
2,-98,85,-183
2,15,29,-14
2,18,72,-54
2,-64,97,-161
2,-77,7,-84
2,-3,-84,81
2,-40,55,-95
2,-32,89,-121
2,-49,-84,35
2,19,37,-18
2,-71,27,-98
2,66,4,62
2,37,-17,54
2,-85,-89,4
2,-63,52,-115
2,38,-4,42
2,-35,73,-108
2,42,89,-47
2,76,83,-7
2,70,-69,139
2,51,-71,122
2,-98,40,-138
2,-70,-2,-68
2,61,-24,85
2,-45,85,-130
2,2,-4,6
2,45,-2,47
2,74,-73,147
2,-1,-3,2
2,-50,-68,18
2,64,59,5
2,65,41,24
2,-9,-21,12
2,64,30,34
2,86,-85,171
2,98,66,32
2,-52,-94,42
2,-71,97,-168
2,-28,81,-109
2,84,-84,168
2,5,46,-41
2,44,-72,116
2,-49,-40,-9
2,39,59,-20
2,-93,5,-98
2,-96,-80,-16
2,-38,-57,19
2,-20,-31,11
2,44,24,20
2,21,-27,48
2,-69,-55,-14
2,87,59,28
2,71,71,0
2,99,86,13
2,83,-47,130
2,-54,-98,44
2,-69,-13,-56
2,33,-63,96
2,38,53,-15
2,72,-51,123
2,15,88,-73
2,-10,17,-27
2,-66,45,-111
2,-37,-78,41
2,-71,77,-148
2,94,-95,189
2,4,92,-88
2,-4,-67,63
2,-71,-30,-41
2,-36,-83,47
2,61,5,56
2,44,-56,100
2,34,100,-66
2,-42,-85,43
2,42,-35,77
2,-31,79,-110
2,80,74,6
2,-63,-11,-52
2,38,-64,102
2,0,70,-70
2,-70,-72,2
2,29,-42,71
2,47,-54,101
2,92,38,54
2,2,-4,6
2,6,-36,42
2,-71,-67,-4
2,-45,71,-116
2,32,-51,83
2,-81,33,-114
2,86,-39,125
2,74,76,-2
2,-85,89,-174
2,97,-32,129
2,60,-65,125
2,94,22,72
2,-73,-39,-34
2,48,10,38
2,-50,-19,-31
2,81,-6,87
2,-74,57,-131
2,-79,97,-176
2,-85,18,-103
2,65,59,6
2,-81,63,-144
2,22,31,-9
2,-45,56,-101
2,98,-4,102
2,-82,-19,-63
2,74,-63,137
2,18,-34,52
2,-67,-7,-60
2,-60,-24,-36
2,-39,30,-69
2,90,-98,188
2,-35,72,-107
2,75,-95,170
2,14,17,-3
2,-5,42,-47
2,-99,-17,-82
2,76,-95,171
2,53,3,50
2,17,-98,115
2,63,-82,145
2,18,11,7
2,-47,-11,-36
2,-76,80,-156
2,34,57,-23
2,66,24,42
2,74,27,47
2,-49,80,-129
2,-65,-88,23
2,-73,99,-172
2,-60,16,-76
2,-42,-88,46
2,-58,80,-138
2,-31,-14,-17
2,-67,-58,-9
2,61,-71,132
2,88,-56,144
2,-26,45,-71
2,-20,25,-45
2,-71,22,-93
2,97,-11,108
2,37,51,-14
2,-60,7,-67
2,-12,63,-75
2,35,-49,84
2,-97,-95,-2
2,20,-62,82
2,-7,91,-98
2,61,22,39
2,-100,-24,-76
2,-89,-70,-19
2,2,88,-86
2,9,60,-51
2,60,37,23
2,-56,31,-87
2,100,-38,138
2,88,-25,113
2,-41,-11,-30
2,80,43,37
2,-16,31,-47
2,-22,84,-106
2,-21,87,-108
2,-88,8,-96
2,23,73,-50
2,-18,-7,-11
2,15,-20,35
2,2,73,-71
2,14,52,-38
2,-59,75,-134
2,-5,11,-16
2,85,53,32
2,-42,-16,-26
2,81,57,24
2,-37,44,-81
2,70,65,5
2,10,56,-46
2,100,-28,128
2,-70,91,-161
2,-98,-80,-18
2,-86,-18,-68
2,-55,21,-76
2,72,41,31
2,88,-94,182
2,-35,51,-86
2,-69,-96,27
2,-31,86,-117
2,-79,34,-113
2,-48,67,-115
2,85,-17,102
2,15,-67,82
2,-28,9,-37
2,74,-72,146
2,38,-62,100
2,91,-28,119
2,33,-80,113
2,-66,-33,-33
2,70,75,-5
2,100,-27,127
2,1,70,-69
2,-18,67,-85
2,-77,30,-107
2,1,47,-46
2,28,-45,73
2,95,-85,180
2,95,66,29
2,35,56,-21
2,-56,80,-136
2,17,44,-27
2,-9,64,-73
2,-15,40,-55
2,-54,35,-89
2,-90,56,-146
2,31,60,-29
2,0,-19,19
2,-61,-43,-18
2,71,-80,151
2,87,-39,126
2,11,15,-4
2,-29,-96,67
2,21,-40,61
2,74,-46,120
2,9,9,0
2,10,-31,41
2,44,94,-50
2,41,8,33
2,-96,-98,2
2,9,-43,52
2,32,-90,122
2,69,93,-24
2,61,-58,119
2,-6,82,-88
2,28,71,-43
2,16,53,-37
2,-91,-5,-86
2,73,-21,94
2,17,23,-6
2,-30,-84,54
2,-2,-18,16
2,99,24,75
2,9,65,-56
2,-76,50,-126
2,67,-55,122
2,-72,43,-115
2,-58,-6,-52
2,97,91,6
2,73,71,2
2,83,-42,125
2,58,-81,139
2,-12,99,-111
2,-81,79,-160
2,37,79,-42
2,-4,-22,18
2,59,53,6
2,42,-19,61
2,50,30,20
2,43,100,-57
2,6,72,-66
2,-6,-88,82
2,48,34,14
2,47,-63,110
2,-23,92,-115
2,86,-16,102
2,61,39,22
2,-43,94,-137
2,59,78,-19
2,83,-41,124
2,-96,-25,-71
2,35,55,-20
2,-88,70,-158
2,95,15,80
2,-25,70,-95
2,42,-57,99
2,3,86,-83
2,29,35,-6
2,-78,7,-85
2,-18,21,-39
2,-67,-66,-1
2,55,50,5
2,-47,-66,19
2,60,-28,88
2,-35,19,-54
2,-58,-20,-38
2,36,96,-60
2,-81,6,-87
2,17,44,-27
2,93,55,38
2,89,22,67
2,-63,49,-112
2,-13,-21,8
2,-58,-68,10
2,-7,-25,18
