ope,1st,2nd,ans
4,-22,56,-0.4
4,7,80,0.1
4,94,-7,-13.4
4,-35,-56,0.6
4,87,-3,-29.0
4,-36,96,-0.4
4,-13,8,-1.6
4,46,-30,-1.5
4,62,-47,-1.3
4,65,-18,-3.6
4,43,67,0.6
4,16,83,0.2
4,-98,79,-1.2
4,5,-89,-0.1
4,-74,61,-1.2
4,-99,-74,1.3
4,79,-32,-2.5
4,-100,53,-1.9
4,38,20,1.9
4,100,-14,-7.1
4,-73,99,-0.7
4,-37,70,-0.5
4,4,11,0.4
4,-26,-23,1.1
4,-53,-97,0.5
4,-65,-92,0.7
4,31,-63,-0.5
4,-41,-1,41.0
4,-21,-49,0.4
4,-88,-72,1.2
4,57,-85,-0.7
4,99,-27,-3.7
4,18,81,0.2
4,76,48,1.6
4,-55,84,-0.7
4,-61,-28,2.2
4,55,-31,-1.8
4,-82,-59,1.4
4,-47,-59,0.8
4,69,-29,-2.4
4,-73,-11,6.6
4,77,-33,-2.3
4,-74,11,-6.7
4,-64,79,-0.8
4,-48,40,-1.2
4,65,-75,-0.9
4,-32,-100,0.3
4,-60,-31,1.9
4,62,-72,-0.9
4,-10,-49,0.2
4,3,88,0.0
4,70,-17,-4.1
4,-23,9,-2.6
4,66,84,0.8
4,-45,-53,0.8
4,71,48,1.5
4,-77,31,-2.5
4,-63,-48,1.3
4,9,-98,-0.1
4,77,12,6.4
4,75,-67,-1.1
4,-42,37,-1.1
4,84,51,1.6
4,-37,74,-0.5
4,71,-39,-1.8
4,62,30,2.1
4,-92,59,-1.6
4,41,20,2.0
4,-64,-84,0.8
4,69,35,2.0
4,-9,59,-0.2
4,-60,-98,0.6
4,-90,-77,1.2
4,87,88,1.0
4,-29,-73,0.4
4,43,65,0.7
4,38,-38,-1.0
4,-33,34,-1.0
4,-68,70,-1.0
4,31,82,0.4
4,-57,-74,0.8
4,-5,-48,0.1
4,31,-71,-0.4
4,-59,-65,0.9
4,31,47,0.7
4,18,97,0.2
4,-15,53,-0.3
4,-5,77,-0.1
4,91,-31,-2.9
4,100,5,20.0
4,48,2,24.0
4,14,-17,-0.8
4,-21,-95,0.2
4,-59,-78,0.8
4,92,-77,-1.2
4,16,74,0.2
4,-73,40,-1.8
4,74,88,0.8
4,-88,22,-4.0
4,97,-77,-1.3
4,70,-53,-1.3
4,-91,10,-9.1
4,46,-4,-11.5
4,57,47,1.2
4,-49,53,-0.9
4,-37,75,-0.5
4,77,52,1.5
4,11,-91,-0.1
4,34,71,0.5
4,-36,64,-0.6
4,53,-63,-0.8
4,58,56,1.0
4,-53,-54,1.0
4,52,-55,-0.9
4,84,9,9.3
4,-5,23,-0.2
4,96,-94,-1.0
4,93,-39,-2.4
4,-92,84,-1.1
4,-59,100,-0.6
4,48,-59,-0.8
4,-9,-33,0.3
4,13,-30,-0.4
4,-53,5,-10.6
4,-48,-28,1.7
4,-87,-55,1.6
4,-24,55,-0.4
4,-98,9,-10.9
4,99,90,1.1
4,-46,36,-1.3
4,67,58,1.2
4,-48,-15,3.2
4,-65,5,-13.0
4,-87,-55,1.6
4,75,-25,-3.0
4,-34,56,-0.6
4,8,96,0.1
4,34,24,1.4
4,97,-40,-2.4
4,2,-89,-0.0
4,92,-47,-2.0
4,0,39,0.0
4,47,-49,-1.0
4,-95,-59,1.6
4,40,-91,-0.4
4,-73,-48,1.5
4,-7,4,-1.8
4,81,-55,-1.5
4,7,54,0.1
4,-2,-73,0.0
4,-8,21,-0.4
4,-88,-30,2.9
4,-59,98,-0.6
4,-89,50,-1.8
4,-56,-58,1.0
4,90,-25,-3.6
4,44,96,0.5
4,77,75,1.0
4,-50,-98,0.5
4,13,-49,-0.3
4,-55,97,-0.6
4,-98,94,-1.0
4,-34,-63,0.5
4,-32,39,-0.8
4,-45,41,-1.1
4,-55,66,-0.8
4,-67,-66,1.0
4,-61,43,-1.4
4,10,-35,-0.3
4,29,-57,-0.5
4,50,4,12.5
4,22,-34,-0.6
4,-44,94,-0.5
4,-29,8,-3.6
4,-66,9,-7.3
4,-23,-84,0.3
4,-20,-84,0.2
4,-2,17,-0.1
4,5,58,0.1
4,64,23,2.8
4,-96,64,-1.5
4,75,-14,-5.4
4,-18,84,-0.2
4,36,-15,-2.4
4,-75,-61,1.2
4,79,59,1.3
4,-35,-3,11.7
4,34,30,1.1
4,14,83,0.2
4,-95,-5,19.0
4,49,50,1.0
4,63,-26,-2.4
4,-30,37,-0.8
4,-24,13,-1.8
4,-87,6,-14.5
4,-26,-14,1.9
4,-27,-82,0.3
4,-10,79,-0.1
4,40,5,8.0
4,-57,27,-2.1
4,-70,9,-7.8
4,36,21,1.7
4,23,1,23.0
4,35,53,0.7
4,80,-81,-1.0
4,99,-18,-5.5
4,35,17,2.1
4,66,-39,-1.7
4,94,10,9.4
4,-24,-65,0.4
4,-71,98,-0.7
4,71,34,2.1
4,3,-78,-0.0
4,69,-32,-2.2
4,41,-29,-1.4
4,-52,-25,2.1
4,34,-91,-0.4
4,-36,-35,1.0
4,67,75,0.9
4,9,-8,-1.1
4,49,18,2.7
4,-12,-93,0.1
4,-33,73,-0.5
4,45,-90,-0.5
4,-23,75,-0.3
4,-9,73,-0.1
4,-81,37,-2.2
4,15,-79,-0.2
4,51,70,0.7
4,98,60,1.6
4,-19,36,-0.5
4,11,-26,-0.4
4,7,-3,-2.3
4,58,56,1.0
4,44,-3,-14.7
4,-61,-46,1.3
4,-2,19,-0.1
4,-48,75,-0.6
4,-91,-42,2.2
4,51,-57,-0.9
4,-21,-93,0.2
4,-81,-14,5.8
4,49,-28,-1.8
4,28,-16,-1.8
4,44,3,14.7
4,-5,-36,0.1
4,-84,50,-1.7
4,80,-43,-1.9
4,-80,56,-1.4
4,68,81,0.8
4,62,-83,-0.7
4,-71,-92,0.8
4,-56,89,-0.6
4,-66,31,-2.1
4,-14,-56,0.2
4,-18,51,-0.4
4,-19,-10,1.9
4,34,-56,-0.6
4,-79,28,-2.8
4,-49,-53,0.9
4,-91,-22,4.1
4,-75,29,-2.6
4,-73,63,-1.2
4,92,82,1.1
4,47,24,2.0
4,61,92,0.7
4,-88,-2,44.0
4,-31,58,-0.5
4,75,-43,-1.7
4,-21,32,-0.7
4,-69,1,-69.0
4,-9,-35,0.3
4,99,-39,-2.5
4,11,74,0.1
4,-4,66,-0.1
4,98,26,3.8
4,-43,8,-5.4
4,33,-89,-0.4
4,-84,-23,3.7
4,-12,-91,0.1
4,26,-23,-1.1
4,35,92,0.4
4,20,31,0.6
4,97,3,32.3
4,-87,33,-2.6
4,-36,72,-0.5
4,10,62,0.2
4,-92,86,-1.1
4,-13,-22,0.6
4,94,-29,-3.2
4,-71,-25,2.8
4,-58,76,-0.8
4,-95,-12,7.9
4,-98,-55,1.8
4,-82,50,-1.6
4,-92,-69,1.3
4,-53,-17,3.1
4,31,8,3.9
4,-49,80,-0.6
4,-50,-88,0.6
4,20,-33,-0.6
4,58,-55,-1.1
4,4,-40,-0.1
4,-60,-3,20.0
4,34,94,0.4
4,-76,-78,1.0
4,-69,-37,1.9
4,-96,-16,6.0
4,-10,-33,0.3
4,31,100,0.3
4,-97,76,-1.3
4,-51,92,-0.6
4,34,-7,-4.9
4,-93,87,-1.1
4,74,39,1.9
4,34,-80,-0.4
4,-6,17,-0.4
4,78,-79,-1.0
4,31,-72,-0.4
4,99,-72,-1.4
4,15,-94,-0.2
4,-47,-3,15.7
4,96,53,1.8
4,-29,40,-0.7
4,-8,-72,0.1
4,36,-72,-0.5
4,-23,-25,0.9
4,30,-61,-0.5
4,-12,48,-0.2
4,-100,-3,33.3
4,-21,91,-0.2
4,-88,-78,1.1
4,61,-8,-7.6
4,80,72,1.1
4,54,20,2.7
4,-98,-54,1.8
4,36,39,0.9
4,10,-6,-1.7
4,50,58,0.9
4,24,59,0.4
4,96,62,1.5
4,-33,-10,3.3
4,72,39,1.8
4,-38,-50,0.8
4,-24,77,-0.3
4,-74,-44,1.7
4,39,39,1.0
4,26,86,0.3
4,-72,87,-0.8
4,70,82,0.9
4,-33,29,-1.1
4,56,-27,-2.1
4,72,-17,-4.2
4,69,-3,-23.0
4,80,-6,-13.3
4,10,-97,-0.1
4,-8,25,-0.3
4,-48,-100,0.5
4,72,-66,-1.1
4,43,13,3.3
4,9,85,0.1
4,37,-57,-0.6
4,97,-28,-3.5
4,74,-47,-1.6
4,7,43,0.2
4,-72,72,-1.0
4,41,-18,-2.3
4,-89,-51,1.7
4,85,82,1.0
4,75,-60,-1.2
4,-18,-87,0.2
4,-14,-56,0.2
4,86,-79,-1.1
4,-99,-41,2.4
4,28,39,0.7
4,-29,80,-0.4
4,19,61,0.3
4,-9,55,-0.2
4,-21,-14,1.5
4,-16,-3,5.3
4,62,72,0.9
4,86,58,1.5
4,-91,73,-1.2
4,-96,74,-1.3
4,-23,60,-0.4
4,75,-8,-9.4
4,-70,-97,0.7
4,-30,-37,0.8
4,22,-23,-1.0
4,96,76,1.3
4,-44,39,-1.1
4,-55,-82,0.7
4,42,88,0.5
4,4,-41,-0.1
4,51,-59,-0.9
4,-75,70,-1.1
4,-51,65,-0.8
4,-94,-12,7.8
4,-39,-52,0.8
4,17,-62,-0.3
4,-8,-80,0.1
4,-3,7,-0.4
4,-53,-21,2.5
4,-23,34,-0.7
4,42,-39,-1.1
4,75,-93,-0.8
4,38,-75,-0.5
4,0,34,0.0
4,97,67,1.4
4,88,85,1.0
4,73,50,1.5
4,94,37,2.5
4,54,89,0.6
4,-45,-87,0.5
4,-18,-37,0.5
4,36,54,0.7
4,44,-58,-0.8
4,98,6,16.3
4,-26,100,-0.3
4,66,-11,-6.0
4,63,98,0.6
4,-34,65,-0.5
4,-39,-83,0.5
4,-73,76,-1.0
4,-52,45,-1.2
4,-65,-62,1.0
4,98,-5,-19.6
4,31,85,0.4
4,-97,44,-2.2
4,18,66,0.3
4,-80,-75,1.1
4,75,36,2.1
4,37,-34,-1.1
4,15,-45,-0.3
4,-68,-66,1.0
4,99,61,1.6
4,-81,99,-0.8
4,-2,-60,0.0
4,-33,57,-0.6
4,-22,2,-11.0
4,-92,-81,1.1
4,-21,-23,0.9
4,-5,-1,5.0
4,48,32,1.5
4,-5,-88,0.1
4,33,14,2.4
4,-92,-11,8.4
4,52,-58,-0.9
4,73,-2,-36.5
4,13,94,0.1
4,88,-92,-1.0
4,96,76,1.3
4,59,6,9.8
4,-57,-37,1.5
4,-43,-3,14.3
4,49,-62,-0.8
4,23,-85,-0.3
4,-53,62,-0.9
4,59,54,1.1
4,27,-54,-0.5
4,51,54,0.9
4,13,86,0.2
4,-65,21,-3.1
4,-61,98,-0.6
4,84,-43,-2.0
4,-39,-8,4.9
4,-5,20,-0.2
4,-92,-89,1.0
4,-71,4,-17.8
4,21,-38,-0.6
4,56,39,1.4
4,28,-25,-1.1
4,-87,-65,1.3
4,44,94,0.5
4,49,25,2.0
4,8,-17,-0.5
4,1,37,0.0
4,83,-50,-1.7
4,75,21,3.6
4,-39,-36,1.1
4,6,-91,-0.1
4,-69,-22,3.1
4,30,71,0.4
4,55,42,1.3
4,45,68,0.7
4,29,17,1.7
4,82,72,1.1
4,86,14,6.1
4,46,-32,-1.4
4,-9,-89,0.1
4,-35,18,-1.9
4,-46,-38,1.2
4,-5,92,-0.1
4,-80,-4,20.0
4,17,-88,-0.2
4,-94,-48,2.0
4,-38,-27,1.4
4,-7,-31,0.2
4,-30,-99,0.3
4,48,-25,-1.9
4,11,-36,-0.3
4,-54,-71,0.8
4,-91,41,-2.2
4,66,-90,-0.7
4,79,92,0.9
4,70,-7,-10.0
4,26,-43,-0.6
4,82,82,1.0
4,-60,-37,1.6
4,-88,-82,1.1
4,-70,84,-0.8
4,82,-85,-1.0
4,97,-3,-32.3
4,70,-37,-1.9
4,46,-68,-0.7
4,60,61,1.0
4,70,89,0.8
4,35,-74,-0.5
4,72,28,2.6
4,69,-34,-2.0
4,68,55,1.2
4,-90,-2,45.0
4,86,17,5.1
4,-44,-47,0.9
4,-48,55,-0.9
4,27,69,0.4
4,80,45,1.8
4,-86,-67,1.3
4,49,70,0.7
4,-23,-14,1.6
4,-28,-45,0.6
4,-2,-85,0.0
4,82,88,0.9
4,-64,-95,0.7
4,-62,-43,1.4
4,-50,-22,2.3
4,-71,57,-1.2
4,-18,13,-1.4
4,95,58,1.6
4,91,47,1.9
4,40,2,20.0
4,44,60,0.7
4,65,-47,-1.4
4,-88,-91,1.0
4,74,-2,-37.0
4,-5,-57,0.1
4,6,-52,-0.1
4,42,-11,-3.8
4,99,-84,-1.2
4,-10,7,-1.4
4,46,-32,-1.4
4,33,37,0.9
4,86,83,1.0
4,-28,-7,4.0
4,-36,-97,0.4
4,21,-69,-0.3
4,83,61,1.4
4,40,-15,-2.7
4,-62,-64,1.0
4,61,-88,-0.7
4,-76,-42,1.8
4,78,35,2.2
4,-78,93,-0.8
4,-60,-7,8.6
4,99,-35,-2.8
4,-98,-59,1.7
4,-73,-93,0.8
4,99,94,1.1
4,18,-2,-9.0
4,-51,92,-0.6
4,98,-14,-7.0
4,59,-87,-0.7
4,-72,28,-2.6
4,100,67,1.5
4,-34,48,-0.7
4,95,23,4.1
4,-92,90,-1.0
4,92,-25,-3.7
4,-10,-24,0.4
4,-26,-35,0.7
4,48,-84,-0.6
4,-30,5,-6.0
4,46,3,15.3
4,39,18,2.2
4,1,-100,-0.0
4,-65,-48,1.4
4,-96,-44,2.2
4,8,43,0.2
4,-31,64,-0.5
4,-32,-66,0.5
4,83,-41,-2.0
4,37,-62,-0.6
4,21,71,0.3
4,-99,-52,1.9
4,46,97,0.5
4,-78,-86,0.9
4,-55,71,-0.8
4,26,-33,-0.8
4,-10,-44,0.2
4,89,-34,-2.6
4,63,-11,-5.7
4,-39,-30,1.3
4,2,11,0.2
4,-88,-80,1.1
4,-77,21,-3.7
4,22,26,0.8
4,-19,79,-0.2
4,-90,57,-1.6
4,-14,-9,1.6
4,69,99,0.7
4,-14,-1,14.0
4,-43,-13,3.3
4,76,-37,-2.1
4,79,-92,-0.9
4,-85,98,-0.9
4,-9,49,-0.2
4,70,28,2.5
4,-58,-37,1.6
4,15,64,0.2
4,21,40,0.5
4,14,-53,-0.3
4,27,-40,-0.7
4,-49,91,-0.5
4,-47,55,-0.9
4,93,10,9.3
4,-56,-88,0.6
4,61,27,2.3
4,-81,51,-1.6
4,26,35,0.7
4,-68,-71,1.0
4,-84,21,-4.0
4,-72,37,-1.9
4,73,51,1.4
4,9,-61,-0.1
4,47,34,1.4
4,-15,-23,0.7
4,69,32,2.2
4,-30,83,-0.4
4,-43,59,-0.7
4,-9,-49,0.2
4,-55,-28,2.0
4,-15,-11,1.4
4,-94,1,-94.0
4,80,-86,-0.9
4,-99,-24,4.1
4,68,-31,-2.2
4,88,31,2.8
4,73,75,1.0
4,83,77,1.1
4,20,53,0.4
4,67,55,1.2
4,-45,-65,0.7
4,-71,-88,0.8
4,-83,-8,10.4
4,35,-91,-0.4
4,47,-64,-0.7
4,69,-77,-0.9
4,67,-3,-22.3
4,61,42,1.5
4,95,36,2.6
4,99,51,1.9
4,14,-10,-1.4
4,16,81,0.2
4,71,-22,-3.2
4,-65,-9,7.2
4,-65,-7,9.3
4,-50,-22,2.3
4,46,94,0.5
4,30,-18,-1.7
4,-9,60,-0.1
4,-42,18,-2.3
4,-50,-3,16.7
4,-87,-45,1.9
4,7,48,0.1
4,75,71,1.1
4,84,-20,-4.2
4,28,-39,-0.7
4,5,-4,-1.2
4,3,-74,-0.0
4,46,87,0.5
4,-26,-80,0.3
4,40,-92,-0.4
4,-11,9,-1.2
4,-83,-26,3.2
4,42,-40,-1.1
4,-84,-29,2.9
4,-15,56,-0.3
4,71,20,3.5
4,96,25,3.8
4,-94,-35,2.7
4,-90,89,-1.0
4,-15,31,-0.5
4,-35,-18,1.9
4,40,-27,-1.5
4,-35,-91,0.4
4,-43,-38,1.1
4,-44,25,-1.8
4,97,-91,-1.1
4,7,-83,-0.1
4,71,37,1.9
4,-4,2,-2.0
4,-34,28,-1.2
4,-26,-27,1.0
4,6,86,0.1
4,-85,-88,1.0
4,64,54,1.2
4,-78,66,-1.2
4,-90,-2,45.0
4,-43,61,-0.7
4,67,-75,-0.9
4,95,-96,-1.0
4,19,-2,-9.5
4,-95,89,-1.1
4,-15,63,-0.2
4,-74,33,-2.2
4,-65,-78,0.8
4,20,71,0.3
4,4,-62,-0.1
4,-74,91,-0.8
4,-97,-71,1.4
4,-28,-85,0.3
4,-87,56,-1.6
4,21,-46,-0.5
4,-14,-79,0.2
